(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
1,1000,1000,0.01,100,0.08,0.0291264,0.51
10,1000,1000,0.01,100,0.08,0.0291632,0.51
100,1000,1000,0.01,100,0.08,0.0291669,0.51
1000,1000,1000,0.01,100,0.08,0.0291673,0.51
0.1,1000,1000,0.1,100,0.08,0.0289019,0.47
0.2,1000,1000,0.1,100,0.08,0.029123,0.49
1,1000,1000,0.1,100,0.08,0.0292957,0.51
10,1000,1000,0.1,100,0.08,0.0293334,0.51
100,1000,1000,0.1,100,0.08,0.0293372,0.51
1000,1000,1000,0.1,100,0.08,0.0293376,0.51
0.1,1000,1000,0.2,100,0.08,0.0290629,0.47
0.2,1000,1000,0.2,100,0.08,0.0292915,0.49
1,1000,1000,0.2,100,0.08,0.0294702,0.5
10,1000,1000,0.2,100,0.08,0.0295094,0.51
100,1000,1000,0.2,100,0.08,0.0295133,0.51
1000,1000,1000,0.2,100,0.08,0.0295137,0.51
0.1,1000,1000,1,100,0.08,0.0291746,0.0001
0.2,1000,1000,1,100,0.08,0.0302548,0.47
1,1000,1000,1,100,0.08,0.0304761,0.49
10,1000,1000,1,100,0.08,0.0305243,0.49
100,1000,1000,1,100,0.08,0.0305292,0.49
1000,1000,1000,1,100,0.08,0.0305296,0.49
0.1,1000,1000,5,100,0.08,0.0304818,0.0001
0.2,1000,1000,5,100,0.08,0.0314735,0.0001
1,1000,1000,5,100,0.08,0.0319235,0.34
10,1000,1000,5,100,0.08,0.0320077,0.36
100,1000,1000,5,100,0.08,0.0320161,0.36
1000,1000,1000,5,100,0.08,0.0320169,0.36
0.1,1000,1000,10,100,0.08,0.030381,0.0001
0.2,1000,1000,10,100,0.08,0.0313711,0.0001
1,1000,1000,10,100,0.08,0.0297437,0.0001
10,1000,1000,10,100,0.08,0.0299867,0.0001
100,1000,1000,10,100,0.08,0.0297565,0.0001
1000,1000,1000,10,100,0.08,0.0297565,0.0001
0.1,1000,1000,30,100,0.08,0.0289223,0.0001
0.2,1000,1000,30,100,0.08,0.0313732,0.0001
1,1000,1000,30,100,0.08,0.0318435,0.0001
10,1000,1000,30,100,0.08,0.031974,0.0001
100,1000,1000,30,100,0.08,0.0319861,0.0001
1000,1000,1000,30,100,0.08,0.031984,0.0001
0.1,1000,1000,90,100,0.08,0.0307991,0.0001
0.2,1000,1000,90,100,0.08,0.0313625,0.0001
1,1000,1000,90,100,0.08,0.0318501,0.0001
10,1000,1000,90,100,0.08,0.0319623,0.0001
100,1000,1000,90,100,0.08,0.031976,0.0001
1000,1000,1000,90,100,0.08,0.0319737,0.0001
0.1,1000,1000,100,100,0.08,0.0307976,0.0001
0.2,1000,1000,100,100,0.08,0.0313605,0.0001
1,1000,1000,100,100,0.08,0.0318473,0.0001
10,1000,1000,100,100,0.08,0.0319435,0.0001
100,1000,1000,100,100,0.08,0.0319733,0.0001
1000,1000,1000,100,100,0.08,0.0319752,0.0001
0.1,1000,1000,300,100,0.08,0.030781,0.0001
0.2,1000,1000,300,100,0.08,0.0313491,0.0001
1,1000,1000,300,100,0.08,0.0318416,0.0001
10,1000,1000,300,100,0.08,0.0319505,0.0001
100,1000,1000,300,100,0.08,0.031968,0.0001
1000,1000,1000,300,100,0.08,0.031967,0.0001
0.1,1000,1000,500,100,0.08,0.030779,0.0001
0.2,1000,1000,500,100,0.08,0.0313442,0.0001
1,1000,1000,500,100,0.08,0.0318235,0.0001
10,1000,1000,500,100,0.08,0.0319551,0.0001
100,1000,1000,500,100,0.08,0.0319662,0.0001
1000,1000,1000,500,100,0.08,0.0319635,0.0001
0.1,1000,1000,1000,100,0.08,0.0307904,0.0001
0.2,1000,1000,1000,100,0.08,0.031356,0.0001
1,1000,1000,1000,100,0.08,0.0318407,0.0001
10,1000,1000,1000,100,0.08,0.0319542,0.0001
100,1000,1000,1000,100,0.08,0.0319636,0.0001
